[3.5 ; 7.2 ; 0.45 ; 2.3 ; 8.9 ; 4.7 ; 6.6 ; 9.1 ; 3.4 ; 7.8 ; 1.5 ; 2.2 ; 5.9 ; 8.3 ; 10.6 ; 8.75 ; 1.4 ; 10.8 ; 11.2 ; 12.6]
[3.5 ; 0.45 ; 2.3 ; 7.2 ; 4.7 ; 6.6 ; 8.9 ; 3.4 ; 7.8 ; 1.5 ; 2.2 ; 5.9 ; 8.3 ; 9.1 ; 8.75 ; 1.4 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 2.3 ; 3.5 ; 4.7 ; 6.6 ; 7.2 ; 3.4 ; 7.8 ; 1.5 ; 2.2 ; 5.9 ; 8.3 ; 8.9 ; 8.75 ; 1.4 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 2.3 ; 3.5 ; 4.7 ; 6.6 ; 3.4 ; 7.2 ; 1.5 ; 2.2 ; 5.9 ; 7.8 ; 8.3 ; 8.75 ; 1.4 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 2.3 ; 3.5 ; 4.7 ; 3.4 ; 6.6 ; 1.5 ; 2.2 ; 5.9 ; 7.2 ; 7.8 ; 8.3 ; 1.4 ; 8.75 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 2.3 ; 3.5 ; 3.4 ; 4.7 ; 1.5 ; 2.2 ; 5.9 ; 6.6 ; 7.2 ; 7.8 ; 1.4 ; 8.3 ; 8.75 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 2.3 ; 3.4 ; 3.5 ; 1.5 ; 2.2 ; 4.7 ; 5.9 ; 6.6 ; 7.2 ; 1.4 ; 7.8 ; 8.3 ; 8.75 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 2.3 ; 3.4 ; 1.5 ; 2.2 ; 3.5 ; 4.7 ; 5.9 ; 6.6 ; 1.4 ; 7.2 ; 7.8 ; 8.3 ; 8.75 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 2.3 ; 1.5 ; 2.2 ; 3.4 ; 3.5 ; 4.7 ; 5.9 ; 1.4 ; 6.6 ; 7.2 ; 7.8 ; 8.3 ; 8.75 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 1.5 ; 2.2 ; 2.3 ; 3.4 ; 3.5 ; 4.7 ; 1.4 ; 5.9 ; 6.6 ; 7.2 ; 7.8 ; 8.3 ; 8.75 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 1.5 ; 2.2 ; 2.3 ; 3.4 ; 3.5 ; 1.4 ; 4.7 ; 5.9 ; 6.6 ; 7.2 ; 7.8 ; 8.3 ; 8.75 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 1.5 ; 2.2 ; 2.3 ; 3.4 ; 1.4 ; 3.5 ; 4.7 ; 5.9 ; 6.6 ; 7.2 ; 7.8 ; 8.3 ; 8.75 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 1.5 ; 2.2 ; 2.3 ; 1.4 ; 3.4 ; 3.5 ; 4.7 ; 5.9 ; 6.6 ; 7.2 ; 7.8 ; 8.3 ; 8.75 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 1.5 ; 2.2 ; 1.4 ; 2.3 ; 3.4 ; 3.5 ; 4.7 ; 5.9 ; 6.6 ; 7.2 ; 7.8 ; 8.3 ; 8.75 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 1.5 ; 1.4 ; 2.2 ; 2.3 ; 3.4 ; 3.5 ; 4.7 ; 5.9 ; 6.6 ; 7.2 ; 7.8 ; 8.3 ; 8.75 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 1.4 ; 1.5 ; 2.2 ; 2.3 ; 3.4 ; 3.5 ; 4.7 ; 5.9 ; 6.6 ; 7.2 ; 7.8 ; 8.3 ; 8.75 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 1.4 ; 1.5 ; 2.2 ; 2.3 ; 3.4 ; 3.5 ; 4.7 ; 5.9 ; 6.6 ; 7.2 ; 7.8 ; 8.3 ; 8.75 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 1.4 ; 1.5 ; 2.2 ; 2.3 ; 3.4 ; 3.5 ; 4.7 ; 5.9 ; 6.6 ; 7.2 ; 7.8 ; 8.3 ; 8.75 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
[0.45 ; 1.4 ; 1.5 ; 2.2 ; 2.3 ; 3.4 ; 3.5 ; 4.7 ; 5.9 ; 6.6 ; 7.2 ; 7.8 ; 8.3 ; 8.75 ; 8.9 ; 9.1 ; 10.6 ; 10.8 ; 11.2 ; 12.6]
